"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2019,124068156,121549353,7,,
2019,124068158,121551726,7,,
2019,124068159,121551728,7,,
2019,121959609,119076144,1,,
2019,121959610,119076145,5,,
2019,121959611,119076145,7,,
2019,121959614,119076148,4,,
2019,119504559,116497388,7,,
2019,117803134,114331731,7,,
2019,117803133,114331731,4,,
2019,117803209,114331856,4,,
2019,117803210,114331857,4,,
2019,117803211,114331858,4,,
2019,117803212,114331858,7,,
2019,117803215,114331861,7,,
2019,117803217,114331863,7,,
2019,117803216,114331863,4,,
2019,117797003,114331865,7,,
2019,117803219,114331866,6,,
2019,117803220,114331867,4,,
2019,117797123,114346602,1,,
2019,117803221,114331868,6,,
2019,117803222,114331874,7,,
2019,117803223,114331875,7,,
2019,117803227,114331879,7,,
2019,117803226,114331879,5,,
2019,117803127,114331722,4,,
2019,117803128,114331722,7,,
2019,117796855,114331735,7,,
2019,117807536,114331774,4,,
2019,117797130,114346615,6,,
2019,117797131,114346617,6,,
2019,117797132,114346618,6,,
2019,117797133,114346619,7,,
2019,117797134,114346622,6,,
2019,117797135,114346623,6,,
2019,117797136,114346624,6,,
2019,117797137,114346636,4,,
2019,117797138,114346637,6,,
2019,117797139,114346639,1,,
2019,121276960,118309105,7,,
2019,117797140,114346644,4,,
2019,121276968,118309116,7,,
2019,121276967,118309116,5,,
2019,121276969,118309117,7,,
2019,117797145,114346649,6,,
2019,117797146,114346650,1,,
2019,117797147,114346651,6,,
2019,121276970,118309118,7,,
2019,117797148,114346657,7,,
2019,117797149,114346658,1,,
2019,117797151,114346659,7,,
2019,117797150,114346659,4,,
2019,117797152,114346660,4,,
2019,117797154,114346661,5,,
2019,117797153,114346661,1,,
2019,117797155,114346662,6,,
2019,117797156,114346663,6,,
2019,117797157,114346664,6,,
2019,117797158,114346665,6,,
2019,117797159,114346669,6,,
2019,117797160,114346670,6,,
2019,117797161,114346671,4,,
2019,117797162,114346671,7,,
2019,117797164,114346673,1,,
2019,117797165,114346674,4,,
2019,117797166,114346677,6,,
2019,121276971,118309119,1,,
2019,121276972,118309120,7,,
2019,117797174,114346686,7,,
2019,117797175,114346688,4,,
2019,117797176,114346689,4,,
2019,117797177,114346690,7,,
2019,117797178,114346691,7,,
2019,117797179,114346692,4,,
2019,117797180,114346697,6,,
2019,117797182,114346702,7,1,
2019,117797184,114346704,7,,
2019,117797185,114346707,6,,
2019,117797186,114346710,6,,
2019,117797187,114346711,7,,
2019,117797188,114346712,6,,
2019,117797189,114346714,4,,
2019,117797190,114346715,4,,
2019,117797191,114346716,7,,
2019,117797192,114346717,7,,
2019,120566190,117450179,7,,
2019,120566194,117450187,4,,
2019,120566195,117450188,7,,
2019,117807535,114336215,6,,
2019,117796866,114346213,4,,
2019,117803148,114331771,5,,
2019,117807529,114336201,7,,
2019,120562896,117452728,7,,
2019,120562897,117452729,7,,
2019,120562901,117452736,6,,
2019,120562907,117452742,1,,
2019,120562908,117452743,6,,
2019,122826616,120074015,7,,
2019,122826620,120074018,7,,
2019,122826623,120074024,4,,
2019,122826624,120074025,1,,
2019,122826629,120074031,7,,
2019,122826632,120074032,6,,
2019,122826635,120074038,7,,
2019,117803151,114331779,4,,
2019,117796870,114336227,5,,
2019,117807523,114336185,4,,
2019,117803145,114346197,7,,
2019,117803144,114346197,4,,
2019,117807537,114336223,4,,
2019,120557713,117450181,7,,
2019,120557712,117450181,5,,
2019,122833821,120089613,4,,
2019,122826610,120074010,7,,
2019,122833823,120089618,7,,
2019,122826612,120074012,7,,
2019,122826619,120074016,7,1,
